	18	17	16	15	14	13	12	11	10	9	8	7
1300-01-01	1734.01099644	1545.5123668	1563.34135537	1419.89108101	1264.62816671	1181.73862642	1779.20993819	1102.968241	909.063599847	919.48470912	727.228343633	736.210054459
2016-03-11	1598.55648562	1423.68692753	1439.95147531	1307.09360046	1163.95502071	1086.94019665	1638.58054787	1014.86640073	835.676869579	845.646314805	668.16989081	676.769748355
2017-10-26	1574.98474783	1402.49648087	1418.49098885	1287.48183906	1146.45183625	1070.46599894	1614.1276883	999.550663865	822.926786715	832.813194785	657.912181296	666.441567926
2016-07-27	1562.23594002	1391.03684507	1406.88558165	1276.8770266	1136.98729639	1061.55884402	1600.90480208	991.269189513	816.033583279	825.87451445	652.366847784	660.85760799
1292-01-01	1395.53798704	1241.28161955	1255.24305438	1138.36675084	1013.37723632	945.294854216	1428.17477046	883.127738007	726.087409374	735.295658769	580.035621351	587.986964883
2017-10-19	1572.85463943	1400.5817097	1416.55184803	1285.70984563	1144.87037042	1068.97762058	1611.91824785	998.166868971	821.774917104	831.65375455	656.985524352	665.508482299
2017-10-24	1583.52644887	1410.1749289	1426.26721397	1294.58794557	1152.79389976	1076.43495188	1622.98799777	1005.10006643	827.546297347	837.46295196	661.62856633	670.183630981
1296-01-01	1558.00329823	1387.23240833	1403.03279213	1273.35654899	1133.84536891	1058.60210409	1596.51515252	988.520040645	813.745443649	823.571187797	650.526183922	659.004039957
2015-12-30	1306.16097727	1161.06053815	1174.02513269	1064.23063863	947.223280411	883.126793587	1335.69857515	825.267556573	678.017697734	686.856020553	541.402652799	549.037123615
2016-03-02	1622.82266055	1445.50472438	1462.04796234	1327.28864205	1181.97897369	1103.90696532	1663.75994118	1030.63840982	848.809205433	858.86273101	678.736097509	687.407232159
2016-01-13	1594.25151473	1419.81663719	1436.03181697	1303.51145409	1160.75799733	1083.93094771	1634.11421428	1012.06888045	833.347809067	843.302189785	666.296042972	674.883121426
